"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"GNL1",0.441839220291519,-0.902721608973852,-0.851386839592006,1,0.366673664864299,0.39455449987844,1,0.681896906124991,0.672233634085048,"Unclear",0
"SPAG6",1.60605196806327,-1.36850500716941,1.04749845806921,0.649574952611807,0.171154055756985,0.294869742964419,1,0.479722650832607,0.585783585128841,"Both",3
"PUS1",1.0272826552852,-2.47009493550706,-0.280106773674168,1,0.0135077199249001,0.779395588006592,1,0.133667052663435,0.910179481064765,"Insectivore",1
"EDAR",2.26323038791655,-2.53312065324482,1.06081929786264,0.141728945436291,0.011305203253324,0.288772030405361,1,0.122459801341161,0.580464831946043,"Insectivore",1
"TRIM39",1.040706033175,0.591291609434041,1.16284119859355,1,0.55432505054245,0.244893938319958,1,0.811710997166429,0.536165718533705,"Vertivore",2
"BMI1",NA,0.795736086212071,NA,NA,0.426185447565569,NA,NA,0.728081779046196,NA,"MissingData",5
"GATA1",2.10508729718143,2.12419996078047,2.91924764127242,0.211702258667936,0.0336534265170071,0.00350877361426392,1,0.216721648952788,0.0720061367796769,"Unclear",0
"MAD2L2",2.10342683387302,-0.68651593897158,1.95386209308427,0.212570848970272,0.492387816766445,0.050717528589663,1,0.774639825484549,0.256801056593453,"Both",3
"MBNL2",0.0352780446921384,0.496228847374121,0.409026550150863,1,0.619732960351104,0.682520177059962,1,0.848654349765034,0.862246064957774,"Unclear",0
"NUDT8",-0.423438723409819,1.7062368804587,0.76773368032739,1,0.087963984688701,0.442645422267659,1,0.348693623824689,0.709688778081583,"Insectivore",1
"TRIM15",-3.70701266499217,0.629897452199314,-2.93212645810779,0.00125831075275572,0.528761679933227,0.0033664963570521,0.13324518402688,0.795276799669451,0.0706880238719234,"DoubleBoth",4
"WAS",-1.16427067165768,1.3669625978095,-0.891873503587011,1,0.171637029286905,0.372460738145863,1,0.480906396121734,0.65483028622455,"Insectivore",1
"HS6ST3",0.739742656430727,0.285316877176892,-0.48392886380584,1,0.775401383886691,0.62843635502329,1,0.917382012491344,0.832330998445437,"Both",3
"FOXB2",-0.273604951474454,0.396306258040545,-0.560939835003248,1,0.691879111146813,0.574838552918743,1,0.880922416629069,0.801103663340533,"Unclear",0
"VSX1",1.34516549107245,-2.21047005548993,-0.56229048803747,1,0.0270725564990693,0.57391811801112,1,0.19256641616605,0.800707716612228,"Insectivore",1
"PRUNE2",-4.44876237154853,3.24025639040092,-2.85028446523917,5.18199016686219e-05,0.00119422266867531,0.00436801436803056,0.0309491459191542,0.0374413060668436,0.0792962608350163,"Both",3
"WDR13",NA,-2.371800707583,NA,NA,0.0177016357980384,NA,NA,0.155011245083957,NA,"MissingData",5
"RFK",0.424209647001896,0.00267526989985828,0.0657134877652278,1,0.997865445997114,0.947605933941361,1,0.99914601487433,0.980519286582881,"DoubleBoth",4
"SP2",1.37812512027715,0.537377623429398,1.57710637718886,1,0.5910067967402,0.11477105009533,1,0.833037108812801,0.381364255704272,"Vertivore",2
"UGGT2",-0.963475840763871,2.88085299353999,0.216264388476891,1,0.00396600572215941,0.828781666088548,1,0.0708683087310067,0.932016847933991,"Insectivore",1
"FBXO6",0.840143728066863,-1.91185334291887,-0.600411191541067,1,0.0558950075386693,0.548232231033786,1,0.277245136847088,0.784658354736501,"Insectivore",1
"RBM3",NA,1.58398445936692,NA,NA,0.113197255645238,NA,NA,0.393410136013538,NA,"MissingData",5
"FBXO44",0.324961481722774,-0.0385700122845721,-0.31293386985388,1,0.969233211224822,0.754330904545606,1,0.990124227689112,0.897189856071883,"Both",3
"TBC1D25",0.758118426354904,0.55911545321656,1.31764491275748,1,0.576082928986262,0.187622543315872,1,0.824669097936794,0.474205303588174,"Vertivore",2
"PPP1R11",2.46487090753049,-1.08060050046341,2.40440166832708,0.0822375737069364,0.279874859828651,0.0161989635628544,0.786647443489276,0.606563926054634,0.147587208633254,"Both",3
"ZNRD1",0.0233698697212015,0.306086596495709,1.90663257523714,1,0.759538712930951,0.0565681836985805,1,0.910536424665172,0.270210577667097,"Vertivore",2
"UBIAD1",1.61968385272506,-0.786852137774392,0.498700382917324,0.631801239463129,0.4313684283623,0.617990474804391,1,0.731489353314467,0.82668746182318,"DoubleBoth",4
"ANGPTL7",0.154093421419664,-0.963184119882011,0.338793383990286,1,0.335455132915461,0.734765385659311,1,0.657320954413696,0.887831342661843,"Insectivore",1
"DZIP1",-0.457202997224393,1.73481379611251,0.0624557149927279,1,0.0827737917608796,0.950199927368876,1,0.33655852512856,0.98127089275495,"Insectivore",1
"CARNMT1",0.395530645027216,1.78419594389257,0.754493182241785,1,0.074391831181081,0.450553137670666,1,0.320355258133407,0.716264095799486,"Insectivore",1
"COMMD3",1.92857469827051,0.547976308993185,2.5325274050111,0.322702095683852,0.583708170162313,0.0113243517242174,1,0.828487366914267,0.125969028646011,"Vertivore",2
"C9orf40",1.30692592635915,0.315042066596904,1.04322366782784,1,0.752729714363937,0.296844714284705,1,0.907474595769807,0.587534303812475,"Both",3
"SYNDIG1",0.882632174553253,-0.475405453485209,-0.100279260695575,1,0.634498008164029,0.920122622055453,1,0.856643397270485,0.968534896921365,"DoubleBoth",4
"NMS",-0.993669123199606,1.41099145425003,0.124538494439618,1,0.158247133842285,0.900888923452628,1,0.460094671291408,0.962700241213791,"Insectivore",1
"RILPL1",1.72664010991569,-2.28742252791624,0.0314108143800901,0.505393906270782,0.0221711726110173,0.974941916779737,1,0.173590292340441,0.989618461763518,"Insectivore",1
"MOG",-1.37701230237778,-1.43970547767358,-2.71302724074864,1,0.149950742975889,0.00666716255791921,1,0.447285902262825,0.0976168640636692,"Vertivore",2
"YIF1A",-0.438078899148147,-0.835433667565688,0.107883136023556,1,0.403473580223538,0.914088394541736,1,0.709968219675439,0.967343678596773,"Insectivore",1
"EXOSC10",-2.56694777067366,0.417185429256776,-2.48379068130673,0.0615588388551868,0.676542782009516,0.0129992192811807,0.686694757805569,0.87404954187302,0.133746735710459,"Both",3
"ZNF182",-1.53185225129392,3.77889956538186,0.779759566085902,0.753353391930422,0.000157522936967153,0.435532410261825,1,0.0129711878596972,0.704135768161929,"Insectivore",1
